seed_label,seed_title,requested_title,final_title,url,status,paragraph_count
Organization,Bletchley Park,Acre,Acre,https://en.wikipedia.org/wiki/Acre,ok,28
Organization,University of Manchester,2002 Commonwealth Games,2002 Commonwealth Games,https://en.wikipedia.org/wiki/2002_Commonwealth_Games,ok,59
Organization,University of Manchester,2020 University of Manchester protests,2020 University of Manchester protests,https://en.wikipedia.org/wiki/2020_University_of_Manchester_protests,ok,12
Organization,University of Manchester,2023 University of Manchester protests,2023 University of Manchester protests,https://en.wikipedia.org/wiki/2023_University_of_Manchester_protests,ok,25
Organization,Government Code and Cypher School,54 Broadway,54 Broadway,https://en.wikipedia.org/wiki/54_Broadway,ok,4
Organization,Government Code and Cypher School,"Adelphi, London","Adelphi, London","https://en.wikipedia.org/wiki/Adelphi,_London",ok,38
Organization,National Physical Laboratory (United Kingdom),123 Mortlake High Street,123 Mortlake High Street,https://en.wikipedia.org/wiki/123_Mortlake_High_Street,ok,7
Organization,National Physical Laboratory (United Kingdom),"14 The Terrace, Barnes","14 The Terrace, Barnes","https://en.wikipedia.org/wiki/14_The_Terrace,_Barnes",ok,2
Organization,National Physical Laboratory (United Kingdom),"18 Station Road, Barnes","18 Station Road, Barnes","https://en.wikipedia.org/wiki/18_Station_Road,_Barnes",ok,2
Organization,National Physical Laboratory (United Kingdom),70 Barnes High Street,70 Barnes High Street,https://en.wikipedia.org/wiki/70_Barnes_High_Street,ok,1
Organization,National Physical Laboratory (United Kingdom),A307 road,A307 road,https://en.wikipedia.org/wiki/A307_road,ok,9
Organization,Hut 8,Asa Briggs,Asa Briggs,https://en.wikipedia.org/wiki/Asa_Briggs,ok,26
Organization,Hut 8,B-Dienst,B-Dienst,https://en.wikipedia.org/wiki/B-Dienst,ok,162
Organization,Hut 8,Banburismus,Banburismus,https://en.wikipedia.org/wiki/Banburismus,ok,50
Organization,Bell Labs,1ESS switch,Number One Electronic Switching System,https://en.wikipedia.org/wiki/Number_One_Electronic_Switching_System,ok,40
Organization,Bell Labs,32-bit,32-bit computing,https://en.wikipedia.org/wiki/32-bit_computing,ok,17
Organization,Bell Labs,4ESS switch,No. 4 Electronic Switching System,https://en.wikipedia.org/wiki/No._4_Electronic_Switching_System,ok,22
